time,value
1904.0,624.7294911919303
1908.0,604.7693108245895
1912.0,584.7551905459735
1916.0,564.8081255710197
1920.0,545.0445657305288
1924.0,525.5750805765036
1928.0,506.50312968980495
1932.0,487.92395626256587
1936.0,469.9236196710584
1940.0,452.57817999366233
1944.0,435.95304432067024
1948.0,420.102481366721
1952.0,405.069307495906
1956.0,390.88474397242675
1960.0,377.56844219573856
1964.0,365.1286709739841
1968.0,353.56265761574053
1972.0,342.85707284669576
1976.0,332.98864832411647
1980.0,323.92491477095774
1984.0,315.6250482771585
1988.0,308.0408118405653
1992.0,301.11757856177434
1996.0,294.79542205006135
2000.0,289.01025861958743
2004.0,283.6950248419994
2008.0,278.78087304509916
2012.0,274.1983664759507
2016.0,269.8786551580309
2020.0,265.75461306369795
2024.0,261.7619172230911
2028.0,257.84004995732585
2032.0,253.93320671348704
2036.0,249.99109404176184
2040.0,245.96960492927542
2044.0,241.83136166922412
2048.0,237.5461194364275
2052.0,233.09102670443713
2056.0,228.45074162466275
2060.0,223.61740647917526
2064.0,218.59048521170405
2068.0,213.37647172895342
2072.0,207.98847908277378
2076.0,202.44572175580097
2080.0,196.772905043115
2084.0,190.99953690313353
2088.0,185.15917859492882
2092.0,179.28865091016448
2096.0,173.42721287407346
2100.0,167.6157294841383
2104.0,161.89584443758164
2108.0,156.30917293002634
2112.0,150.8965285238849
2116.0,145.6971967802911
2120.0,140.74826680313566
2124.0,136.08403005753345
2128.0,131.7354538154015
2132.0,127.7297343949605
2136.0,124.08993310746698
2140.0,120.83469565419283
2144.0,117.97805375511632
2148.0,115.52930610575423
2152.0,113.49297437899122
2156.0,111.86882892393828
2160.0,110.65197805502223
2164.0,109.83301434611322
2168.0,109.39821111047151
2172.0,109.32976221810769
2176.0,109.6060585473131
2180.0,110.201994680747
2184.0,111.08929995021725
2188.0,112.23688860014005
2192.0,113.61122462618874
2196.0,115.17669767932894
2200.0,116.89600724101817
2204.0,118.7305530161295
2208.0,120.64083010195789
2212.0,122.58682794079118
2216.0,124.52843235216758
2220.0,126.42583009258021
2224.0,128.2399154323154
2228.0,129.93269820296007
2232.0,131.4677126806071
2236.0,132.81042651790716
2240.0,133.92864867351162
2244.0,134.79293487893523
2248.0,135.37698867082568
2252.0,135.65805549106244
2256.0,135.61730688531995
2260.0,135.24021141984292
2264.0,134.51688855873562
2268.0,133.4424413789794
2272.0,132.01726364375315
2276.0,130.2473164026502
2280.0,128.14436892032145
2284.0,125.72619833268936
2288.0,123.01674201327731
2292.0,120.04619627207904
2296.0,116.85105477728774
2300.0,113.4740800234387
2304.0,109.96420128966804
2308.0,106.37633286291604
2312.0,102.77110685861103
2316.0,99.2145157545527
2320.0,95.7774607531646
2324.0,92.53520330008901
2328.0,89.56671852890044
2332.0,86.95395110029793
2336.0,84.78097586522449
2340.0,83.13306796165725
2344.0,82.0956892813879
2348.0,81.75340065682884
2352.0,82.18871158236678
2356.0,83.48088174956017
2360.0,85.7046910465093
2364.0,88.9291968294443
2368.0,93.21649911075157
2372.0,98.62053574316606
2376.0,105.18593066694945
2380.0,112.94691879925952
2384.0,121.9263711493236
2388.0,132.13494318016527
2392.0,143.5703682414433
2396.0,156.21691602641715
2400.0,170.04503345341755
2404.0,185.01118219150692
2408.0,201.05788339514302
2412.0,218.11397630714453
2416.0,236.09509338632245
2420.0,254.9043505258003
2424.0,274.43324673288953
2428.0,294.56276342775914
2432.0,315.1646494494679
2436.0,336.1028740804324
2440.0,357.2352270179043
2444.0,378.41504131507406
2448.0,399.4930129388754
2452.0,420.31908875635713
2456.0,440.74439344786896
2460.0,460.62316503592785
2464.0,479.8146684047427
2468.0,498.18505635508575
2472.0,515.6091483683242
2476.0,531.9720983076231
2480.0,547.1709237339142
2484.0,561.1158713539513
2488.0,573.7315953675849
2492.0,584.9581281586884
2496.0,594.7516258719772
2500.0,603.0848749099727
2504.0,609.947549227746
2508.0,615.3462124289343
2512.0,619.3040629871282
2516.0,621.8604253474988
2520.0,623.0699941304101
2524.0,623.0018430900197
2528.0,621.7382147997124
2532.0,619.3731111588353
2536.0,616.0107086519895
2540.0,611.7636257503513
2544.0,606.7510728323394
2548.0,601.0969174330901
2552.0,594.927699434945
2556.0,588.3706319262014
2560.0,581.5516238414806
2564.0,574.5933601302941
2568.0,567.6134740721324
2572.0,560.7228444723793
2576.0,554.0240478566785
2580.0,547.6099924787276
2584.0,541.562757041931
2588.0,535.9526526090741
2592.0,530.8375213584276
2596.0,526.2622807796462
2600.0,522.2587167450064
2604.0,518.845523809954
2608.0,516.0285862438301
2612.0,513.8014887457102
2616.0,512.1462415639562
2620.0,511.03420084135416
2624.0,510.4271615888347
2628.0,510.27859791892865
2632.0,510.5350231164483
2636.0,511.1374407485137
2640.0,512.0228572477032
2644.0,513.1258261920775
2648.0,514.3799948260025
2652.0,515.7196241896086
2656.0,517.0810555182983
2660.0,518.4040972941741
2664.0,519.6333094272582
2668.0,520.7191634588461
2672.0,521.6190603551133
2676.0,522.2981903432703
2680.0,522.7302222859994
2684.0,522.8978132447147
2688.0,522.7929321007011
2692.0,522.4169943381344
2696.0,521.7808082982204
2700.0,520.9043363449282
2704.0,519.8162773972409
2708.0,518.5534801379699
2712.0,517.160198863463
2716.0,515.6872063557016
2720.0,514.1907803100687
2724.0,512.7315817164289
2728.0,511.37344514922614
2732.0,510.18210215856766
2736.0,509.22385985781773
2740.0,508.5642573648932
2744.0,508.26672296129266
2748.0,508.39125467142696
2752.0,508.99314643696164
2756.0,510.12178119432576
2760.0,511.8195110015598
2764.0,514.1206429442808
2768.0,517.0505479114647
2772.0,520.6249074947958
2776.0,524.8491122509379
2780.0,529.7178223916874
2784.0,535.2146996482162
2788.0,541.3123166074887
2792.0,547.972247255957
2796.0,555.1453398003066
2800.0,562.7721700761123
2804.0,570.7836710098472
2808.0,579.101930677942
2812.0,587.6411485243581
2816.0,596.3087362757578
2820.0,605.0065470544067
2824.0,613.6322131661724
2828.0,622.0805701072311
2832.0,630.2451416610962
2836.0,638.0196588412169
2840.0,645.2995841876138
2844.0,651.983612720276
2848.0,657.97512165687
2852.0,663.1835426656938
2856.0,667.5256327792565
2860.0,670.9266230046113
2864.0,673.3212270273619
2868.0,674.6544960965867
2872.0,674.8825100149328
2876.0,673.9728979330808
2880.0,671.9051862520782
2884.0,668.6709743892068
2888.0,664.2739424355166
2892.0,658.7296976066843
2896.0,652.0654685576498
2900.0,644.319657936682
2904.0,635.5412641081087
2908.0,625.7891831091789
2912.0,615.1314020150171
2916.0,603.6440952254001
2920.0,591.410635814906
2924.0,578.5205349275284
2928.0,565.0683231388847
2932.0,551.1523886585597
2936.0,536.8737881263872
2940.0,522.3350465093447
2944.0,507.6389631822336
2948.0,492.88744163637244
2952.0,478.1803603666475
2956.0,463.6145022810107
2960.0,449.28255937082145
2964.0,435.27222827255565
2968.0,421.66541068173325
2972.0,408.53753040388955
2976.0,395.956976302955
2980.0,383.98467768825395
2984.0,372.67381584206805
2988.0,362.06967243796674
2992.0,352.20961252471227
2996.0,343.1231965793053
3000.0,334.8324129691273
3004.0,327.35201915745563
3008.0,320.68997727858334
3012.0,314.84796740413225
3016.0,309.8219600036289
3020.0,305.6028278569388
3024.0,302.1769771132325
3028.0,299.52697741604175
3032.0,297.6321720799352
3036.0,296.4692511895197
3040.0,296.0127730754977
3044.0,296.2356226771093
